035;Der leistungsstarke Schüler arbeitete selten mit.;Die leistungsstarke Schülerin arbeitete selten mit.                                                                                                                                                               
036;Der leistungsstarke Schüler arbeitete kaum mit.;Die leistungsstarke Schülerin arbeitete kaum mit.                                                                                                                                                                 
037;Der leistungsstarke Schüler arbeitete nicht mit.;Die leistungsstarke Schülerin arbeitete nicht mit.                                                                                                                                                                
038;Der leistungsstarke Schüler verweigerte die Mitarbeit.;Die leistungsstarke Schülerin verweigerte die Mitarbeit.                                                                                                                                                                                                                                                                                                                                                                        
039;Der motivierte Schüler brachte durchgängig hervorragende Unterrichtsbeiträge.;Die motivierte Schülerin brachte durchgängig hervorragende Unterrichtsbeiträge.                                                                                                                                   
040;Der motivierte Schüler brachte hervorragende Unterrichtsbeiträge.;Die motivierte Schülerin brachte hervorragende Unterrichtsbeiträge.                                                                                                                                               
041;Der motivierte Schüler erledigte seine schulischen Aufgaben mit großem Fleiß.;Die motivierte Schülerin erledigte ihre schulischen Aufgaben mit großem Fleiß.                                                                                                                                    
042;Der motivierte Schüler arbeitete mit Interesse und großem Fleiß.;Die motivierte Schülerin arbeitete mit Interesse und großem Fleiß.                                                                                                                                                
043;Der motivierte Schüler hat stets fleißig mitgearbeitet.;Die motivierte Schülerin hat stets fleißig mitgearbeitet.                                                                                                                                                         
044;Der motivierte Schüler hat fleißig mitgearbeitet.;Die motivierte Schülerin hat fleißig mitgearbeitet.                                                                                                                                                               
045;Der motivierte Schüler beteiligte sich lebhaft am Unterricht.;Die motivierte Schülerin beteiligte sich lebhaft am Unterricht.                                                                                                                                                   
046;Der motivierte Schüler arbeitete interessiert mit.;Die motivierte Schülerin arbeitete interessiert mit.                                                                                                                                                              
047;Der motivierte Schüler hat zuverlässig mitgearbeitet.;Die motivierte Schülerin hat zuverlässig mitgearbeitet.                                                                                                                                                           
048;Der motivierte Schüler erfüllte seine Pflichten zuverlässig.;Die motivierte Schülerin erfüllte ihre Pflichten zuverlässig.                                                                                                                                                     
049;Der motivierte Schüler folgte dem Unterricht aufmerksam.;Die motivierte Schülerin folgte dem Unterricht aufmerksam.                                                                                                                                                                                                                                                                                                                                                                        
050;Der interessierte Schüler brachte durchgängig hervorragende Unterrichtsbeiträge.;Die interessierte Schülerin brachte durchgängig hervorragende Unterrichtsbeiträge.                                                                                                                                
051;Der interessierte Schüler brachte hervorragende Unterrichtsbeiträge.;Die interessierte Schülerin brachte hervorragende Unterrichtsbeiträge.                                                                                                                                            
052;Der interessierte Schüler erledigte seine schulischen Aufgaben mit großem Fleiß.;Die interessierte Schülerin erledigte ihre schulischen Aufgaben mit großem Fleiß.                                                                                                                                 
053;Der interessierte Schüler arbeitete mit großem Fleiß.;Die interessierte Schülerin arbeitete mit großem Fleiß.                                                                                                                                                           
054;Der interessierte Schüler hat stets fleißig mitgearbeitet.;Die interessierte Schülerin hat stets fleißig mitgearbeitet.                                                                                                                                                      
055;Der interessierte Schüler hat fleißig mitgearbeitet.;Die interessierte Schülerin hat fleißig mitgearbeitet.                                                                                                                                                            
056;Der interessierte Schüler beteiligte sich lebhaft am Unterricht.;Die interessierte Schülerin beteiligte sich lebhaft am Unterricht.                                                                                                                                                
058;Der interessierte Schüler hat zuverlässig mitgearbeitet.;Die interessierte Schülerin hat zuverlässig mitgearbeitet.                                                                                                                                                        
059;Der interessierte Schüler erfüllte seine Pflichten zuverlässig.;Die interessierte Schülerin erfüllte ihre Pflichten zuverlässig.                                                                                                                                                  
060;Der interessierte Schüler folgte dem Unterricht aufmerksam.;Die interessierte Schülerin folgte dem Unterricht aufmerksam.                                                                                                                                                                                                                                                                                                                                                                    
061;Der freundliche Schüler brachte durchgängig hervorragende Unterrichtsbeiträge.;Die freundliche Schülerin brachte durchgängig hervorragende Unterrichtsbeiträge.                                                                                                                                  
062;Der freundliche Schüler brachte hervorragende Unterrichtsbeiträge.;Die freundliche Schülerin brachte hervorragende Unterrichtsbeiträge.                                                                                                                                              
063;Der freundliche Schüler erledigte seine schulischen Aufgaben mit großem Fleiß.;Die freundliche Schülerin erledigte ihre schulischen Aufgaben mit großem Fleiß.                                                                                                                                   
064;Der freundliche Schüler arbeitete mit Interesse und großem Fleiß.;Die freundliche Schülerin arbeitete mit Interesse und großem Fleiß.                                                                                                                                               
065;Der freundliche Schüler hat stets fleißig mitgearbeitet.;Die freundliche Schülerin hat stets fleißig mitgearbeitet.                                                                                                                                                        
066;Der freundliche Schüler hat fleißig mitgearbeitet.;Die freundliche Schülerin hat fleißig mitgearbeitet.                                                                                                                                                              
067;Der freundliche Schüler beteiligte sich lebhaft am Unterricht.;Die freundliche Schülerin beteiligte sich lebhaft am Unterricht.                                                                                                                                                  
068;Der freundliche Schüler arbeitete interessiert mit.;Die freundliche Schülerin arbeitete interessiert mit.                                                                                                                                                             
069;Der freundliche Schüler hat zuverlässig mitgearbeitet.;Die freundliche Schülerin hat zuverlässig mitgearbeitet.                                                                                                                                                          
070;Der freundliche Schüler erfüllte seine Pflichten zuverlässig.;Die freundliche Schülerin erfüllte ihre Pflichten zuverlässig.                                                                                                                                                    
071;Der freundliche Schüler hat mitgearbeitet.;Die freundliche Schülerin hat mitgearbeitet.                                                                                                                                                                      
072;Der freundliche Schüler beteiligte sich im Allgemeinen am Unterricht.;Die freundliche Schülerin beteiligte sich im Allgemeinen am Unterricht.                                                                                                                                           
073;Der freundliche Schüler folgte dem Unterricht aufmerksam.;Die freundliche Schülerin folgte dem Unterricht aufmerksam.                                                                                                                                                       
074;Der freundliche Schüler sollte sich stärker am Unterricht beteiligen.;Die freundliche Schülerin sollte sich stärker am Unterricht beteiligen.                                                                                                                                           
075;Der freundliche Schüler war unaufmerksam.;Die freundliche Schülerin war unaufmerksam.                                                                                                                                                                       
076;Der freundliche Schüler arbeitete selten mit.;Die freundliche Schülerin arbeitete selten mit.                                                                                                                                                                   
077;Der freundliche Schüler arbeitete kaum mit.;Die freundliche Schülerin arbeitete kaum mit.                                                                                                                                                                     
078;Der freundliche Schüler arbeitete nicht mit.;Die freundliche Schülerin arbeitete nicht mit.                                                                                                                                                                    
079;Der freundliche Schüler verweigerte die Mitarbeit.;Die freundliche Schülerin verweigerte die Mitarbeit.                                                                                                                                                                                                                                                                                                                                                                              
080;Der ruhige Schüler brachte durchgängig hervorragende Unterrichtsbeiträge.;Die ruhige Schülerin brachte durchgängig hervorragende Unterrichtsbeiträge.                                                                                                                                       
081;Der ruhige Schüler brachte hervorragende Unterrichtsbeiträge.;Die ruhige Schülerin brachte hervorragende Unterrichtsbeiträge.                                                                                                                                                   
082;Der ruhige Schüler erledigte seine schulischen Aufgaben mit großem Fleiß.;Die ruhige Schülerin erledigte ihre schulischen Aufgaben mit großem Fleiß.                                                                                                                                        
083;Der ruhige Schüler arbeitete mit Interesse und großem Fleiß.;Die ruhige Schülerin arbeitete mit Interesse und großem Fleiß.                                                                                                                                                    
084;Der ruhige Schüler hat stets fleißig mitgearbeitet.;Die ruhige Schülerin hat stets fleißig mitgearbeitet.                                                                                                                                                             
085;Der ruhige Schüler hat fleißig mitgearbeitet.;Die ruhige Schülerin hat fleißig mitgearbeitet.                                                                                                                                                                   
086;Der ruhige Schüler beteiligte sich lebhaft am Unterricht.;Die ruhige Schülerin beteiligte sich lebhaft am Unterricht.                                                                                                                                                       
087;Der ruhige Schüler arbeitete interessiert mit.;Die ruhige Schülerin arbeitete interessiert mit.                                                                                                                                                                  
088;Der ruhige Schüler hat zuverlässig mitgearbeitet.;Die ruhige Schülerin hat zuverlässig mitgearbeitet.                                                                                                                                                               
089;Der ruhige Schüler erfüllte seine Pflichten zuverlässig.;Die ruhige Schülerin erfüllte ihre Pflichten zuverlässig.                                                                                                                                                         
090;Der ruhige Schüler hat mitgearbeitet.;Die ruhige Schülerin hat mitgearbeitet.                                                                                                                                                                           
091;Der ruhige Schüler beteiligte sich im Allgemeinen am Unterricht.;Die ruhige Schülerin beteiligte sich im Allgemeinen am Unterricht.                                                                                                                                                
092;Der ruhige Schüler folgte dem Unterricht aufmerksam.;Die ruhige Schülerin folgte dem Unterricht aufmerksam.                                                                                                                                                            
093;Der ruhige Schüler sollte sich stärker am Unterricht beteiligen.;Die ruhige Schülerin sollte sich stärker am Unterricht beteiligen.                                                                                                                                                
094;Der ruhige Schüler war unaufmerksam.;Die ruhige Schülerin war unaufmerksam.                                                                                                                                                                            
095;Der ruhige Schüler arbeitete selten mit.;Die ruhige Schülerin arbeitete selten mit.                                                                                                                                                                        
096;Der ruhige Schüler arbeitete kaum mit.;Die ruhige Schülerin arbeitete kaum mit.                                                                                                                                                                          
097;Der ruhige Schüler arbeitete nicht mit.;Die ruhige Schülerin arbeitete nicht mit.                                                                                                                                                                         
098;Der ruhige Schüler verweigerte die Mitarbeit.;Die ruhige Schülerin verweigerte die Mitarbeit.                                                                                                                                                                                                                                                                                                                                                                                   
099;Der zurückhaltende Schüler brachte hervorragende Unterrichtsbeiträge.;Die zurückhaltende Schülerin brachte hervorragende Unterrichtsbeiträge.                                                                                                                                           
100;Der zurückhaltende Schüler erledigte seine schulischen Aufgaben mit großem Fleiß.;Die zurückhaltende Schülerin erledigte ihre schulischen Aufgaben mit großem Fleiß.                                                                                                                                
101;Der zurückhaltende Schüler arbeitete mit Interesse und großem Fleiß.;Die zurückhaltende Schülerin arbeitete mit Interesse und großem Fleiß.                                                                                                                                            
102;Der zurückhaltende Schüler hat stets fleißig mitgearbeitet.;Die zurückhaltende Schülerin hat stets fleißig mitgearbeitet.                                                                                                                                                     
103;Der zurückhaltende Schüler hat fleißig mitgearbeitet.;Die zurückhaltende Schülerin hat fleißig mitgearbeitet.                                                                                                                                                           
104;Der zurückhaltende Schüler beteiligte sich lebhaft am Unterricht.;Die zurückhaltende Schülerin beteiligte sich lebhaft am Unterricht.                                                                                                                                               
105;Der zurückhaltende Schüler arbeitete interessiert mit.;Die zurückhaltende Schülerin arbeitete interessiert mit.                                                                                                                                                          
106;Der zurückhaltende Schüler hat zuverlässig mitgearbeitet.;Die zurückhaltende Schülerin hat zuverlässig mitgearbeitet.                                                                                                                                                       
107;Der zurückhaltende Schüler erfüllte seine Pflichten zuverlässig.;Die zurückhaltende Schülerin erfüllte ihre Pflichten zuverlässig.                                                                                                                                                 
108;Der zurückhaltende Schüler hat mitgearbeitet.;Die zurückhaltende Schülerin hat mitgearbeitet.                                                                                                                                                                   
109;Der zurückhaltende Schüler beteiligte sich im Allgemeinen am Unterricht.;Die zurückhaltende Schülerin beteiligte sich im Allgemeinen am Unterricht.                                                                                                                                        
110;Der zurückhaltende Schüler folgte dem Unterricht aufmerksam.;Die zurückhaltende Schülerin folgte dem Unterricht aufmerksam.                                                                                                                                                    
111;Der zurückhaltende Schüler sollte sich stärker am Unterricht beteiligen.;Die zurückhaltende Schülerin sollte sich stärker am Unterricht beteiligen.                                                                                                                                        
112;Der zurückhaltende Schüler war unaufmerksam.;Die zurückhaltende Schülerin war unaufmerksam.                                                                                                                                                                    
113;Der zurückhaltende Schüler arbeitete selten mit.;Die zurückhaltende Schülerin arbeitete selten mit.                                                                                                                                                                
114;Der zurückhaltende Schüler arbeitete kaum mit.;Die zurückhaltende Schülerin arbeitete kaum mit.                                                                                                                                                                  
115;Der zurückhaltende Schüler arbeitete nicht mit.;Die zurückhaltende Schülerin arbeitete nicht mit.                                                                                                                                                                 
116;Der zurückhaltende Schüler verweigerte die Mitarbeit.;Die zurückhaltende Schülerin verweigerte die Mitarbeit.                                                                                                                                                                                                                                                                                                                                                                            
117;Der leicht ablenkbare Schüler hat mitgearbeitet.;Die leicht ablenkbare Schülerin hat mitgearbeitet.                                                                                                                                                                
118;Der leicht ablenkbare Schüler beteiligte sich im Allgemeinen am Unterricht.;Die leicht ablenkbare Schülerin beteiligte sich im Allgemeinen am Unterricht.                                                                                                                                     
119;Der leicht ablenkbare Schüler sollte sich stärker am Unterricht beteiligen.;Die leicht ablenkbare Schülerin sollte sich stärker am Unterricht beteiligen.                                                                                                                                     
120;Der leicht ablenkbare Schüler war unaufmerksam.;Die leicht ablenkbare Schülerin war unaufmerksam.                                                                                                                                                                 
121;Der leicht ablenkbare Schüler arbeitete selten mit.;Die leicht ablenkbare Schülerin arbeitete selten mit.                                                                                                                                                             
122;Der leicht ablenkbare Schüler arbeitete kaum mit.;Die leicht ablenkbare Schülerin arbeitete kaum mit.                                                                                                                                                               
123;Der leicht ablenkbare Schüler arbeitete nicht mit.;Die leicht ablenkbare Schülerin arbeitete nicht mit.                                                                                                                                                              
124;Der leicht ablenkbare Schüler verweigerte die Mitarbeit.;Die leicht ablenkbare Schülerin verweigerte die Mitarbeit.                                                                                                                                                        
125;Der unkonzentrierte Schüler hat mitgearbeitet.;Die unkonzentrierte Schülerin hat mitgearbeitet.                                                                                                                                                                  
126;Der unkonzentrierte Schüler beteiligte sich im Allgemeinen am Unterricht.;Die unkonzentrierte Schülerin beteiligte sich im Allgemeinen am Unterricht.                                                                                                                                       
127;Der unkonzentrierte Schüler sollte sich stärker am Unterricht beteiligen.;Die unkonzentrierte Schülerin sollte sich stärker am Unterricht beteiligen.                                                                                                                                       
128;Der unkonzentrierte Schüler arbeitete selten mit.;Die unkonzentrierte Schülerin arbeitete selten mit.                                                                                                                                                               
129;Der unkonzentrierte Schüler arbeitete kaum mit.;Die unkonzentrierte Schülerin arbeitete kaum mit.                                                                                                                                                                 
130;Der unkonzentrierte Schüler arbeitete nicht mit.;Die unkonzentrierte Schülerin arbeitete nicht mit.                                                                                                                                                                
131;Der unkonzentrierte Schüler verweigerte die Mitarbeit.;Die unkonzentrierte Schülerin verweigerte die Mitarbeit.                                                                                                                                                                                                                                                                                                                                                                            
132;Der mitteilsame Schüler beteiligte sich lebhaft am Unterricht.;Die mitteilsame Schülerin beteiligte sich lebhaft am Unterricht.                                                                                                                                                  
133;Der mitteilsame Schüler arbeitete interessiert mit.;Die mitteilsame Schülerin arbeitete interessiert mit.                                                                                                                                                             
134;Der mitteilsame Schüler hat zuverlässig mitgearbeitet.;Die mitteilsame Schülerin hat zuverlässig mitgearbeitet.                                                                                                                                                          
135;Der mitteilsame Schüler erfüllte seine Pflichten zuverlässig.;Die mitteilsame Schülerin erfüllte ihre Pflichten zuverlässig.                                                                                                                                                    
136;Der mitteilsame Schüler hat mitgearbeitet.;Die mitteilsame Schülerin hat mitgearbeitet.                                                                                                                                                                      
137;Der mitteilsame Schüler beteiligte sich im Allgemeinen am Unterricht.;Die mitteilsame Schülerin beteiligte sich im Allgemeinen am Unterricht.                                                                                                                                           
138;Der mitteilsame Schüler sollte sich stärker am Unterricht beteiligen.;Die mitteilsame Schülerin sollte sich stärker am Unterricht beteiligen.                                                                                                                                           
139;Der mitteilsame Schüler war unaufmerksam.;Die mitteilsame Schülerin war unaufmerksam.                                                                                                                                                                       
140;Der mitteilsame Schüler arbeitete selten mit.;Die mitteilsame Schülerin arbeitete selten mit.                                                                                                                                                                   
141;Der mitteilsame Schüler arbeitete kaum mit.;Die mitteilsame Schülerin arbeitete kaum mit.                                                                                                                                                                     
142;Der mitteilsame Schüler arbeitete nicht mit.;Die mitteilsame Schülerin arbeitete nicht mit.                                                                                                                                                                    
143;Der mitteilsame Schüler verweigerte die Mitarbeit.;Die mitteilsame Schülerin verweigerte die Mitarbeit.                                                                                                                                                                                                                                                                                                                                                                           
144;Der unaufmerksame Schüler beteiligte sich im Allgemeinen am Unterricht.;Die unaufmerksame Schülerin beteiligte sich im Allgemeinen am Unterricht.                                                                                                                                         
145;Der unaufmerksame Schüler sollte sich stärker am Unterricht beteiligen.;Die unaufmerksame Schülerin sollte sich stärker am Unterricht beteiligen.                                                                                                                                         
146;Der unaufmerksame Schüler arbeitete selten mit.;Die unaufmerksame Schülerin arbeitete selten mit.                                                                                                                                                                 
147;Der unaufmerksame Schüler arbeitete kaum mit.;Die unaufmerksame Schülerin arbeitete kaum mit.                                                                                                                                                                   
148;Der unaufmerksame Schüler arbeitete nicht mit.;Die unaufmerksame Schülerin arbeitete nicht mit.                                                                                                                                                                  
149;Der unaufmerksame Schüler verweigerte die Mitarbeit.;Die unaufmerksame Schülerin verweigerte die Mitarbeit.                                                                                                                                                                                                                                                                                                                                                                              
150;Der desinteressierte Schüler sollte sich stärker am Unterricht beteiligen.;Die desinteressierte Schülerin sollte sich stärker am Unterricht beteiligen.                                                                                                                                      
151;Der desinteressierte Schüler arbeitete selten mit.;Die desinteressierte Schülerin arbeitete selten mit.                                                                                                                                                              
152;Der desinteressierte Schüler arbeitete kaum mit.;Die desinteressierte Schülerin arbeitete kaum mit.                                                                                                                                                                
153;Der desinteressierte Schüler arbeitete nicht mit.;Die desinteressierte Schülerin arbeitete nicht mit.                                                                                                                                                               
154;Der desinteressierte Schüler verweigerte die Mitarbeit.;Die desinteressierte Schülerin verweigerte die Mitarbeit.                                                                                                                                                         
155;Sein Verhalten war stets vorbildlich.;Ihr Verhalten war stets vorbildlich.                                                                                                                                                                              
156;Sein Verhalten war stets lobenswert.;Ihr Verhalten war stets lobenswert.                                                                                                                                                                               
157;Sein Verhalten war vorbildlich.;Ihr Verhalten war vorbildlich.                                                                                                                                                                                    
158;Sein Verhalten war lobenswert.;Ihr Verhalten war lobenswert.                                                                                                                                                                                     
159;Sein Verhalten war anerkennenswert. ;Ihr Verhalten war anerkennenswert.                                                                                                                                                                                
236;Er verhielt sich stets tadellos.;Sie verhielt sich stets tadellos.                                                                                                                                                                                 
237;Er verhielt sich immer tadellos.;Sie verhielt sich immer tadellos.                                                                                                                                                                                 
160;Sein Verhalten war tadelfrei.;Ihr Verhalten war tadelfrei.                                                                                                                                                                                      
161;Sein Verhalten war tadellos.;Ihr Verhalten war tadellos.                                                                                                                                                                                       
234;Er verhielt sich stets einwandfrei.;Sie verhielt sich stets einwandfrei.                                                                                                                                                                              
235;Er verhielt sich immer einwandfrei.;Sie verhielt sich immer einwandfrei.                                                                                                                                                                              
162;Sein Verhalten war einwandfrei.;Ihr Verhalten war einwandfrei.                                                                                                                                                                                    
163;Sein Verhalten war zufriedenstellend.;Ihr Verhalten war zufriedenstellend.                                                                                                                                                                              
164;Sein Verhalten war im Allgemeinen einwandfrei.;Ihr Verhalten war im Allgemeinen einwandfrei.                                                                                                                                                                     
165;Sein Verhalten war im Allgemeinen zufriedenstellend.;Ihr Verhalten war im Allgemeinen zufriedenstellend.                                                                                                                                                               
166;Sein Verhalten gab im Allgemeinen keinen Anlass zu Beanstandungen. ;Ihr Verhalten gab im Allgemeinen keinen Anlass zu Beanstandungen.                                                                                                                                                 
167;Sein Verhalten musste hin und wieder getadelt werden.;Ihr Verhalten musste hin und wieder getadelt werden.                                                                                                                                                              
168;Sein Verhalten musste wiederholt getadelt werden.;Ihr Verhalten musste wiederholt getadelt werden.                                                                                                                                                                  
169;Sein Verhalten gab ständig Anlass zu Ermahnungen. ;Ihr Verhalten gab ständig Anlass zu Ermahnungen.                                                                                                                                                                  
170;Sein Verhalten war unbefriedigend. ;Ihr Verhalten war unbefriedigend.                                                                                                                                                                                 
171;Er bewies geistige Reife und sichere Urteilsfähigkeit.;Sie bewies geistige Reife und sichere Urteilsfähigkeit.                                                                                                                                                           
172;Seine Leistungsbereitschaft verdient besonderes Lob.;Ihre Leistungsbereitschaft verdient besonderes Lob.                                                                                                                                                               
173;Er arbeitete selbständig, gewandt und zuverlässig.;Sie arbeitete selbständig, gewandt und zuverlässig.                                                                                                                                                               
174;Er konnte seine schulischen Leistungen im zweiten Halbjahr steigern.;Sie konnte ihre schulischen Leistungen im zweiten Halbjahr steigern.                                                                                                                                              
175;Seine schulischen Leistungen ließen im zweiten Halbjahr merklich nach.;Ihre schulischen Leistungen ließen im zweiten Halbjahr merklich nach.                                                                                                                                             
176;Seine schulischen Leistungen ließen im zweiten Halbjahr nach. ;Ihre schulischen Leistungen ließen im zweiten Halbjahr nach.                                                                                                                                                      
177;Soll das Klassenziel nicht gefährdet werden, dürfen seine Leistungen nicht abfallen.;Soll das Klassenziel nicht gefährdet werden, dürfen ihre Leistungen nicht abfallen.                                                                                                                               
178;Er bemühte sich, die gestellten Aufgaben zu bewältigen.;Sie bemühte sich, die gestellten Aufgaben zu bewältigen.                                                                                                                                                          
179;Er könnte bei größerem Einsatz bessere Leistungen erzielen.;Sie könnte bei größerem Einsatz bessere Leistungen erzielen.                                                                                                                                                      
180;Er sollte etwas sorgfältiger arbeiten.;Sie sollte etwas sorgfältiger arbeiten.                                                                                                                                                                           
238;Er muss seine Leistungen steigern, um das Klassenziel zu erreichen.;Sie muss ihre Leistungen steigern, um das Klassenziel zu erreichen.                                                                                                                                               
239;Er muss seine Leistungen steigern, um das Schulziel zu erreichen.;Sie muss ihre Leistungen steigern, um das Schulziel zu erreichen.                                                                                                                                                 
240;Er muss seine Leistungen erheblich steigern, um das Klassenziel zu erreichen.;Sie muss ihre Leistungen erheblich steigern, um das Klassenziel zu erreichen.                                                                                                                                     
241;Er muss seine Leistungen erheblich steigern, um das Schulziel zu erreichen.;Sie muss ihre Leistungen erheblich steigern, um das Schulziel zu erreichen.                                                                                                                                       
242;Er muss seine Leistungen im Programmieren steigern, um das Klassenziel zu erreichen.;Sie muss ihre Leistungen im Programmieren steigern, um das Klassenziel zu erreichen.                                                                                                                              
243;Er muss seine Leistungen im Programmieren steigern, um das Schulziel zu erreichen.;Sie muss ihre Leistungen im Programmieren steigern, um das Schulziel zu erreichen.                                                                                                                                
244;Er muss seine Leistungen im Programmieren erheblich steigern.;Sie muss ihre Leistungen im Programmieren erheblich steigern.                                                                                                                                                     
181;Er war als Klassensprecher verantwortungsbewusst und objektiv.;Sie war als Klassensprecherin verantwortungsbewusst und objektiv.                                                                                                                                                 
182;Er war ein tüchtiger Klassensprecher.;Sie war eine tüchtige Klassensprecherin.                                                                                                                                                                          
183;Er war Klassensprecher.;Sie war Klassensprecherin.                                                                                                                                                                                        
245;Er hat sein Amt als Klassensprecher mit Engagement erfüllt.;Sie hat ihr Amt als Klassensprecherin mit Engagement erfüllt.                                                                                                                                                     
246;Er hat sein Amt als Klassensprecher mit großem Engagement erfüllt.;Sie hat ihr Amt als Klassensprecherin mit großem Engagement erfüllt.                                                                                                                                              
184;Der Schüler konnte wegen eines schweren Verkehrsunfalles den Unterricht nicht besuchen.;Die Schülerin konnte wegen eines schweren Verkehrsunfalles den Unterricht nicht besuchen.                                                                                                                         
185;Der Schüler konnte wegen einer längeren Krankheit den Unterricht nicht besuchen.;Die Schülerin konnte wegen einer längeren Krankheit den Unterricht nicht besuchen.                                                                                                                                
186;Wegen längerer Krankheit konnte keine Benotung erfolgen. ;Wegen längerer Krankheit konnte keine Benotung erfolgen.                                                                                                                                                          
187;Der Schulbesuch war lückenhaft;Der Schulbesuch war lückenhaft.                                                                                                                                                                                   
188;Der Schulbesuch war äußerst lückenhaft. ;Der Schulbesuch war äußerst lückenhaft.                                                                                                                                                                           
189;Der Schüler kam seiner Schulpflicht nicht nach.;Die Schülerin kam ihrer Schulpflicht nicht nach.                                                                                                                                                                  
190;Wegen zahlreicher Versäumnisse war in einigen Fächern keine Benotung möglich.;Wegen zahlreicher Versäumnisse war in einigen Fächern keine Benotung möglich.                                                                                                                                     
